nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000155	Whoopi Goldberg	1955		actress,producer,writer	tt0099653,tt0105417,tt0088939,tt0108147
nm0000230	Sylvester Stallone	1946		actor,producer,writer	tt0075148,tt0089927,tt3076658,tt0084602
nm0000236	Jennifer Tilly	1958		actress,writer,soundtrack	tt0115736,tt0144120,tt0387575,tt0109348
nm0000241	Jean-Claude Van Damme	1960		actor,producer,writer	tt0101764,tt0119013,tt0097659,tt0111301
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0107290,tt0057115,tt0083987,tt0119567
nm0000327	Lacey Chabert	1982		actress,producer,writer	tt0377092,tt0120738,tt0277371,tt0454082
nm0000330	Stockard Channing	1944		actress,soundtrack,archive_footage	tt0120791,tt0077631,tt0108149,tt0198021
nm0000510	Andie MacDowell	1958		actress,producer,writer	tt0107048,tt0098724,tt0109831,tt0102070
nm0000630	Liev Schreiber	1967		actor,producer,miscellaneous	tt1895587,tt0458525,tt0368008,tt0404030
nm0000823	Angelo Badalamenti	1937	2022	composer,music_department,actor	tt0166924,tt0105665,tt0116922,tt0344510
nm0000933	Valerie Bertinelli	1960		actress,producer,soundtrack	tt0072554,tt0078924,tt0088078,tt0926284
nm0001097	Charles Dance	1946		actor,producer,director	tt0280707,tt2084970,tt0944947,tt0107362
nm0001288	Kelsey Grammer	1955		producer,actor,music_department	tt0083399,tt0106004,tt2109248,tt2333784
nm0001383	David Hyde Pierce	1959		actor,producer,writer	tt0106004,tt0120623,tt0309530,tt0243655
nm0001498	John Mahoney	1940	2018	actor,producer,soundtrack	tt0106004,tt0093565,tt0098258,tt0101410
nm0001672	Joan Rivers	1933	2014	writer,actress,producer	tt0094012,tt1300854,tt0111127,tt0078133
nm0001767	Imelda Staunton	1956		actress,soundtrack,archive_footage	tt0383694,tt0373889,tt3169706,tt0138097
nm0001857	Henry Winkler	1945		actor,producer,writer	tt0120484,tt0084412,tt0389860,tt0367279
nm0002099	Henry Gibson	1935	2009	actor,soundtrack,archive_footage	tt0073440,tt0080455,tt0175880,tt0093260
nm0002568	Robert De Grasse	1900	1971	cinematographer,camera_department,miscellaneous	tt0030944,tt0045410,tt0037549,tt0028481
nm0002892	Wally Pfister	1961		cinematographer,camera_department,director	tt1375666,tt0468569,tt0482571,tt1345836
nm0003650	Michael Legge	1953		actor,director,writer	tt0245019,tt17072218,tt0184370,tt1645988
nm0003957	Brad Marlowe			director,writer,producer	tt0220852,tt0108538,tt0217031,tt0881919
nm0004757	Selma Blair	1972		actress,archive_footage	tt0139134,tt0167190,tt0253867,tt0411477
nm0004856	Carson Daly	1973		producer,actor,writer	tt0236348,tt0261983,tt1839337,tt0167735
nm0004860	Clive Davis	1932		producer,actor,writer	tt5463162,tt0800241,tt0280486,tt1659337
nm0004963	Peri Gilpin	1961		actress,producer,soundtrack	tt2578560,tt0106004,tt12706836,tt10430850
nm0005137	Jane Leeves	1961		actress,miscellaneous,soundtrack	tt0106004,tt1583607,tt6483832,tt0098904
nm0005145	Sugar Ray Leonard	1956		actor,producer,stunts	tt0964517,tt0433035,tt0297181,tt0416359
nm0005191	Paula Marshall	1964		actress,camera_department,producer	tt1229401,tt0168326,tt0904208,tt0320030
nm0005277	Conan O'Brien	1963		writer,producer,music_department	tt4116284,tt0106052,tt1637574,tt1670345
nm0005310	Regis Philbin	1931	2020	actor,producer,miscellaneous	tt0185431,tt0068555,tt0385307,tt0413267
nm0005376	Kid Rock	1971		music_artist,actor,composer	tt0245686,tt2106361,tt0325805,tt0181739
nm0005419	Judy Sheindlin	1942		writer,producer,actress	tt0115227,tt13368190,tt3854942,tt2398249
nm0005512	Mike Tyson	1966		actor,producer,writer	tt1119646,tt1411697,tt2888046,tt1661382
nm0005913	James Van Trees	1890	1973	cinematographer,camera_department,actor	tt0027628,tt0034804,tt0034232,tt0021918
nm0006120	Earle Hagen	1919	2008	composer,music_department,actor	tt0058816,tt0045810,tt0098439,tt0053479
nm0006214	Bruno Nicolai	1926	1991	music_department,composer,special_effects	tt0060315,tt7131622,tt0063518,tt0060196
nm0006842	Julio Alemán	1933	2012	actor,producer,soundtrack	tt0759222,tt0065630,tt0065798,tt0282127
nm0007547	Derek Aasland			miscellaneous,actor,camera_department	tt0186151,tt0352248,tt0318627,tt0192614
nm0010752	Ashby Adams			actor	tt0056752,tt0105932,tt0086593,tt0081930
nm0011803	Jean-Claude Adelin	1958		actor,director	tt1243957,tt0217172,tt0881381,tt0488534
nm0012495	Franck Adrien			actor	tt2521668,tt0423764,tt7368268,tt1184957
nm0015846	Gina Alajar			director,actress,archive_footage	tt0374800,tt0257084,tt0219187,tt2529144
nm0016776	Jack Albertson	1907	1981	actor,soundtrack,archive_footage	tt0067992,tt0069113,tt0082406,tt0063654
nm0016868	Ricardo Albiñana			camera_department,cinematographer,director	tt2243597,tt0053669,tt0056433,tt0055880
nm0017171	Eduardo Alcaraz	1915	1987	actor,archive_footage	tt0083366,tt0225045,tt0161968,tt0053813
nm0019046	Graciela Alfano	1952		actress,producer,soundtrack	tt0202717,tt0201294,tt0185434,tt0301647
nm0019615	Mirto Alikaki			actress	tt0245013,tt2597756,tt1104080,tt0277829
nm0019885	Roger Allam	1953		actor,producer,soundtrack	tt0434409,tt0811080,tt0460989,tt1298650
nm0022131	Alicia Alonso			actress,writer	tt0452909,tt0172053,tt0267165,tt0217172
nm0022172	Ernesto Alonso	1917	2007	producer,director,actor	tt0159930,tt0212710,tt0159848,tt0214376
nm0025734	Giuseppe Anatrelli	1925	1981	actor,miscellaneous	tt0077459,tt0080719,tt0075178,tt0934710
nm0026039	Merry Anders	1934	2012	actress,soundtrack,archive_footage	tt0056585,tt0050285,tt0054489,tt0052472
nm0026692	Erika Anderson	1963		actress,miscellaneous	tt0097981,tt0101004,tt0098936,tt0165409
nm0028373	Cock Andreoli			director	tt0150493,tt0294075,tt0477550,tt0474482
nm0029628	David Angell	1946	2001	writer,producer,miscellaneous	tt0106004,tt0083399,tt0098948,tt0112132
nm0030011	Marc Angelo			director,writer,production_manager	tt1616523,tt0084540,tt1349600,tt1483623
nm0031653	Rodolfo Antúnez			director,assistant_director	tt2252208,tt1729622,tt3493882,tt0292746
nm0031973	Sofia Aparício	1970		actress,archive_footage	tt24634274,tt12547074,tt1173941,tt14813972
nm0032053	Martijn Apituley	1948		actor,soundtrack	tt0094509,tt0179034,tt0094382,tt0920448
nm0032629	Angel Aquino	1973		actress,archive_footage	tt2904024,tt3204904,tt0816483,tt2717558
nm0033843	John Arcilla	1966		actor,soundtrack,archive_footage	tt3785036,tt13723386,tt1194173,tt6135042
