tconst	directors	writers
tt0010483	nm0897085	nm0326579,nm0412257
tt0098820	nm0923935,nm0262986,nm0636116,nm0520471,nm2653301,nm0817989,nm0298176,nm12279219,nm7972263,nm0810026	nm7726910,nm3097097,nm3729020,nm10234303,nm11931555,nm9071873,nm11078973,nm13539094,nm2002348,nm10327653,nm14012710,nm8057097,nm4462956,nm0171837,nm0175383,nm9071874,nm2223946,nm0185366,nm4770479,nm16038597,nm0206470,nm10379196,nm1150495,nm10234304,nm9107179,nm11951787,nm7760281,nm11968373,nm4940206,nm3552340,nm3717273,nm7344042,nm5073652,nm0309420,nm11687778,nm9705413,nm5917638,nm9853017,nm14209150,nm9760118,nm6752709,nm5047122,nm3382631,nm3418686,nm4237836,nm10464355,nm8844151,nm5697130,nm5323941,nm9071875,nm4430296,nm10327654,nm10775745,nm12995799,nm5701082,nm11083064,nm5413806,nm1493629,nm11988238,nm8641065,nm10234305,nm8883034,nm5897500,nm9491394,nm14096541,nm1711235,nm0663822,nm9806448,nm9705414,nm1398904,nm0683346,nm0701445,nm8071096,nm4083993,nm4304100,nm6526528,nm11083065,nm2870358,nm12974313,nm9045995,nm0801703,nm4192742,nm8622923,nm1950891,nm6898547,nm0824540,nm3334440,nm0841997,nm7457304,nm2444593,nm4461214,nm15521722,nm5075542,nm6966546,nm9071876,nm8516161,nm6359293,nm1270623
tt0099435	nm0847705	nm0846997,nm0323658
tt0114024	nm0201283	nm0003957
tt0145067	nm0050696	nm0050696
tt0219682	nm0820276	nm0466267
tt0268475		
tt0388925	nm0357906	nm0107115
tt0426554	nm1110328	nm1094761,nm1110328
tt0470320	nm1754452	
tt0480059	nm1546940	nm1546940
tt0524730	nm0090878	nm0590343,nm0574341
tt0565659	nm0916131	nm0903884,nm0916131
tt0582349	nm0296945	nm0029628,nm0143517,nm0497115,nm0553104,nm0153036,nm0153080
tt0667654	nm0258405	nm0515941,nm0444653,nm0514439
tt0686421	nm0926636,nm8742157	nm0480681,nm0001175,nm0963342
tt0719717		
tt0741661		
tt0787223		
tt0798534	nm0800726	nm1084220,nm2013262,nm0886146
tt0933926		
tt0939365	nm1662713	
tt0947888	nm0030011	nm0041502,nm0555496
tt0966979	nm0038906	nm0279394,nm0513748
tt0998548		
tt10150860		nm8769865
tt10180920	nm0215166,nm0637394,nm0655568,nm0813631	
tt10208114	nm0078668,nm3139046,nm0735074,nm0886763,nm0903679	nm3869767,nm2352760,nm10655007,nm2719029,nm0821773,nm1091708,nm2330171,nm1089127,nm0825347,nm2073375
tt10221358		
tt10378374	nm6855655,nm2788669,nm3131807	nm1340699
tt10395942	nm9750986,nm6833072	nm8042385,nm9957701
tt1045233	nm0345500	
tt10526148		
tt10561052	nm2788669,nm3131807	nm1340699
tt1065223	nm1041792	nm1041858
tt1066364		
tt10757574		
tt10757652	nm6691397	nm1561389,nm5673317,nm6691397,nm6866027
tt10763914	nm5383460	nm2755627,nm5383460
tt10810898		
tt10872676		
