tconst	ordering	nconst	category	job	characters
tt0010483	1	nm0165691	actress		"[""Helen O'Hara""]"
tt0010483	2	nm0185300	actor		"[""Richard Carlin""]"
tt0010483	3	nm0382229	actor		"[""Terry O'Hara""]"
tt0010483	4	nm0177599	actor		"[""Jimmy Keen""]"
tt0010483	5	nm3989506	actress		"[""Angela""]"
tt0010483	6	nm0897085	director		
tt0010483	7	nm0326579	writer	"story ""The Female of the Species"""	
tt0010483	8	nm0412257	writer	scenario	
tt0010483	9	nm0005913	cinematographer	cinematographer	
tt0098820	1	nm0386810	self		"[""Self - Team Captain""]"
tt0098820	2	nm0581615	self		"[""Self - Team Captain""]"
tt0098820	3	nm0581615	self		"[""Self""]"
tt0098820	4	nm0581615	self		"[""Self - Guest Presenter""]"
tt0098820	5	nm0213291	self		"[""Self - Host""]"
tt0098820	6	nm0035602	self		"[""Self - Guest Presenter""]"
tt0098820	7	nm0104476	self		"[""Self - Guest Presenter""]"
tt0098820	8	nm0104476	self		"[""Self""]"
tt0098820	9	nm1296679	self		"[""Self - Guest Presenter""]"
tt0098820	10	nm1296679	self		"[""Self""]"
tt0098820	11	nm0357725	self		"[""Self""]"
tt0098820	12	nm0633665	self		"[""Self""]"
tt0098820	13	nm0633665	self		"[""Self - Guest Captain""]"
tt0098820	14	nm0214177	self		"[""Self - Guest Presenter""]"
tt0098820	15	nm0214177	self		"[""Self""]"
tt0098820	16	nm0167340	self		"[""Self - Guest Presenter""]"
tt0098820	17	nm0167340	self		"[""Self""]"
tt0099435	1	nm0168594	actress		"[""Kei""]"
tt0099435	2	nm0168594	actress		"[""Kei""]"
tt0099435	3	nm0867297	actress		"[""Kei""]"
tt0099435	4	nm0283253	actress		"[""Yuri""]"
tt0099435	5	nm0283253	actress		"[""Yuri""]"
tt0099435	6	nm0793619	actress		"[""Yuri""]"
tt0099435	7	nm0261930	actor		"[""General Garcia""]"
tt0099435	8	nm0261930	actor		"[""General Garcia""]"
tt0099435	9	nm0148061	actor		"[""Dietrich""]"
tt0099435	10	nm0148061	actor		"[""Dietrich""]"
tt0099435	11	nm1418832	actor		"[""Danny""]"
tt0099435	12	nm1418832	actor		"[""Danny""]"
tt0099435	13	nm0935287	actor		"[""Chief""]"
tt0099435	14	nm0935287	actor		"[""Chief""]"
tt0099435	15	nm0566332	actor		"[""Mughi""]"
tt0099435	16	nm0566332	actor		"[""Mughi""]"
tt0099435	17	nm0566332	actor		"[""Dubahl Officer""]"
tt0099435	18	nm0566332	actor		"[""Dubahl Officer""]"
tt0099435	19	nm0566332	actor		"[""DIA Agent""]"
tt0099435	20	nm0566332	actor		"[""DIA Agent""]"
tt0099435	21	nm0469674	actor		"[""Dr. Ram""]"
tt0099435	22	nm0469674	actor		"[""Dr. Ram""]"
tt0099435	23	nm0469674	actor		"[""Zahl Police Commander""]"
tt0099435	24	nm0469674	actor		"[""Zahl Police Commander""]"
tt0099435	25	nm0847705	director		
tt0099435	26	nm0846997	writer	original story	
tt0099435	27	nm0323658	writer	screenplay	
tt0099435	28	nm0496556	producer	executive producer	
tt0099435	29	nm0645440	composer		
tt0099435	30	nm0645777	cinematographer		
tt0099435	31	nm0435372	editor		
tt0114024	1	nm0884306	actor		"[""Blaze""]"
tt0114024	2	nm0026692	actress		"[""Margaret""]"
tt0114024	3	nm0924378	actress		"[""Christy""]"
tt0114024	4	nm0445291	actor		"[""Harvey""]"
tt0114024	5	nm0736933	actress		"[""Angie""]"
tt0114024	6	nm0383522	actress		"[""Vicky""]"
tt0114024	7	nm0201877	actress		"[""Charlotte""]"
tt0114024	8	nm0010752	actor		"[""Henry""]"
tt0114024	9	nm0722700	actress		"[""Francine""]"
tt0114024	10	nm0834362	actor		"[""Homeless Man""]"
tt0114024	11	nm0201283	director	director	
tt0114024	12	nm0003957	writer		
tt0114024	13	nm0308525	producer	producer	
tt0114024	14	nm0410344	composer		
tt0114024	15	nm0002892	cinematographer		
tt0114024	16	nm0613657	editor		
tt0114024	17	nm0167860	casting_director		
tt0114024	18	nm0947761	production_designer		
tt0145067	1	nm0721027	actor		
tt0145067	2	nm0050696	director		
tt0145067	3	nm0050696	writer	screenplay	
tt0145067	4	nm0016868	cinematographer		
tt0219682	1	nm0263594	actor		"[""Ghu""]"
tt0219682	2	nm0753478	actor		"[""Chaidan""]"
tt0219682	3	nm0737229	actress		"[""Numkang""]"
tt0219682	4	nm0409410	actor		"[""Pongkhet""]"
tt0219682	5	nm1125470	actor		"[""Traisoon""]"
tt0219682	6	nm1127565	actor		"[""Sihnsamut""]"
tt0219682	7	nm1127915	actor		"[""Joe""]"
tt0219682	8	nm1126171	actor		"[""Tee""]"
tt0219682	9	nm0690422	actor		"[""Father""]"
tt0219682	10	nm1127175	actor		"[""Brother Wiwat""]"
tt0219682	11	nm0820276	director		
tt0219682	12	nm0466267	writer	writer	
tt0219682	13	nm0690919	producer	producer	
tt0219682	14	nm0475016	cinematographer		
tt0219682	15	nm0850959	editor		
tt0219682	16	nm0659925	casting_director		
tt0219682	17	nm0488532	production_designer		
tt0268475	1	nm0107115	actor		"[""Various Roles""]"
tt0268475	2	nm0051394	actor		
tt0268475	3	nm0083392	actor		"[""Various Roles""]"
tt0268475	4	nm1000198	actress		"[""The Queen""]"
tt0268475	5	nm2256778	actress		"[""Christmas Child""]"
tt0268475	6	nm0242492	actor		"[""Alistair Campbell""]"
tt0268475	7	nm0287432	actor		"[""Various Roles""]"
tt0388925	1	nm0019885	archive_footage		"[""Willy Brandt""]"
tt0388925	2	nm0000277	self		"[""Self""]"
tt0388925	3	nm0062636	self		"[""Self""]"
tt0388925	4	nm0101248	self		"[""Self""]"
tt0388925	5	nm0107115	self		"[""Self - Presenter""]"
tt0388925	6	nm1135663	self		"[""Self""]"
tt0388925	7	nm0197636	self		"[""Self""]"
tt0388925	8	nm0001097	self		"[""Self""]"
tt0388925	9	nm0288976	self		"[""Self""]"
tt0388925	10	nm0292450	self		"[""Self""]"
tt0388925	11	nm0357906	director		
tt0388925	12	nm0107115	writer		
tt0388925	13	nm1014326	producer	producer	
tt0388925	14	nm1105910	composer		
tt0426554	1	nm1109056	actress		"[""Sister""]"
tt0426554	2	nm6489502	actress		"[""Young Elisabeth Holm""]"
tt0426554	3	nm0629070	actress		"[""Andy""]"
tt0426554	4	nm0675151	actor		"[""Bob""]"
tt0426554	5	nm0737533	actress		"[""Samantha""]"
tt0426554	6	nm0787621	actor		"[""Walter""]"
tt0426554	7	nm1110328	director		
tt0426554	8	nm1094761	writer	short story	
tt0426554	9	nm1110328	writer	screenplay	
tt0426554	10	nm1112693	producer	producer	
tt0426554	11	nm1110328	producer	producer	
tt0426554	12	nm1110960	producer	producer	
tt0426554	13	nm1726476	producer	producer	
tt0426554	14	nm0000823	composer		
tt0426554	15	nm0479354	cinematographer		
tt0426554	16	nm1730054	editor		
tt0426554	17	nm1730061	editor		
tt0426554	18	nm0414898	casting_director	casting_director	
tt0470320	1	nm1755910	self		"[""Self""]"
tt0470320	2	nm1982326	self		"[""Self""]"
tt0470320	3	nm1752667	self		"[""Self""]"
tt0470320	4	nm1757305	self		"[""Self""]"
tt0470320	5	nm1753294	self		"[""Self""]"
tt0470320	6	nm1982643	self		"[""Self""]"
tt0470320	7	nm1754452	director		
tt0470320	8	nm1754452	producer	producer	
tt0470320	9	nm1754452	cinematographer		
tt0480059	1	nm0341587	actress		"[""Clare Newell""]"
tt0480059	2	nm0942578	actress		"[""Holly Aurelli""]"
tt0480059	3	nm0354733	actor		"[""Prof Jakob Farley""]"
tt0480059	4	nm0302814	actor		"[""Frank""]"
tt0480059	5	nm1552028	actress		"[""Distraught Woman""]"
tt0480059	6	nm1591204	actor		"[""Techie 1""]"
tt0480059	7	nm2688631	actress		"[""Techie 2""]"
tt0480059	8	nm1546940	director		
tt0480059	9	nm1546940	writer		
tt0480059	10	nm1006175	producer	producer	
tt0480059	11	nm1539077	composer		
tt0480059	12	nm1046893	cinematographer		
tt0480059	13	nm1546940	editor		
tt0480059	14	nm0953514	casting_director		
tt0480059	15	nm0971501	production_designer		
tt0524730	1	nm0561753	actress		"[""Acting DI Samantha Nixon""]"
tt0524730	2	nm0745869	actor		"[""DCI Jack Meadows""]"
tt0524730	3	nm0283295	actor		"[""DC Ken Drummond""]"
tt0524730	4	nm0556494	actor		"[""DS Phil Hunter""]"
tt0524730	5	nm0170559	actor		"[""PC Tony Stamp""]"
tt0524730	6	nm0036889	actor		"[""TDC Brandon Kane""]"
tt0524730	7	nm0661678	actress		"[""DC Eva Sharpe""]"
tt0524730	8	nm0200538	actress		"[""PC Gemma Osbourne""]"
tt0524730	9	nm0634221	actress		"[""Sgt. Sheelagh Murphy""]"
tt0524730	10	nm0341647	actor		"[""PC Gary Best""]"
tt0524730	11	nm0090878	director		
tt0524730	12	nm0590343	writer	written by	
tt0524730	13	nm0558464	producer	producer	
tt0565659	1	nm0916131	actor		"[""Sergeant Joe Friday""]"
tt0565659	2	nm0604702	actor		"[""Officer Bill Gannon""]"
tt0565659	3	nm0778906	actress		"[""Jean Shipley""]"
tt0565659	4	nm0232778	actor		"[""Paul Shipley""]"
tt0565659	5	nm0026039	actress		"[""Policewoman Dorothy Miller""]"
tt0565659	6	nm0460514	actor		"[""Capt. Trembly""]"
tt0565659	7	nm0696034	actor		"[""Charles Porter""]"
tt0565659	8	nm0566382	actor		"[""2nd Officer""]"
tt0565659	9	nm0646869	actor		"[""Fred Ludden""]"
tt0565659	10	nm0662341	actor		"[""1st Officer""]"
tt0565659	11	nm0916131	director		
tt0565659	12	nm0903884	writer	written by	
tt0565659	13	nm0916131	producer	producer	
tt0565659	14	nm0615138	composer		
tt0565659	15	nm0413262	cinematographer	director of photography	
tt0565659	16	nm0823285	editor		
tt0582349	1	nm0001288	actor		"[""Dr. Frasier Crane""]"
tt0582349	2	nm0005137	actress		"[""Daphne Moon""]"
tt0582349	3	nm0001383	actor		"[""Dr. Niles Crane""]"
tt0582349	4	nm0004963	actress		"[""Roz Doyle""]"
tt0582349	5	nm0124873	actor		"[""Bulldog Briscoe""]"
tt0582349	6	nm0001498	actor		"[""Martin Crane""]"
tt0582349	7	nm0282684	actress		"[""Waitress""]"
tt0582349	8	nm0587323	actress		"[""Bernice Brisco""]"
tt0582349	9	nm0717760	actor		"[""Father O'Rourke""]"
tt0582349	10	nm0829725	actress		"[""Mrs. McCloud""]"
tt0582349	11	nm0296945	director		
tt0582349	12	nm0029628	writer	created by	
tt0582349	13	nm0143517	writer	created by	
tt0582349	14	nm0497115	writer	created by	
tt0582349	15	nm0553104	writer	written by	
tt0582349	16	nm0086951	producer	producer	
tt0582349	17	nm0338576	producer	producer	
tt0582349	18	nm0553104	producer	producer	
tt0582349	19	nm0588004	composer		
tt0582349	20	nm0202578	cinematographer	director of photography	
tt0582349	21	nm0901443	editor		
tt0582349	22	nm0338528	casting_director		
tt0582349	23	nm0160618	production_designer		
tt0667654	1	nm0330913	actor		"[""Benjamin Barnes""]"
tt0667654	2	nm0005191	actress		"[""Dr. Regina Barnes""]"
tt0667654	3	nm0123092	actor		"[""Dr. Oliver Barnes""]"
tt0667654	4	nm0000236	actress		"[""Crystal""]"
tt0667654	5	nm0001857	actor		"[""Dr. Stewart Barnes""]"
tt0667654	6	nm0000330	actress		"[""Dr. Lydia Barnes""]"
tt0667654	7	nm0043847	actress		"[""Maria""]"
tt0667654	8	nm1304856	actor		"[""Orderly""]"
tt0667654	9	nm0692207	actress		"[""Doris""]"
tt0667654	10	nm0258405	director		
tt0667654	11	nm0515941	writer	created by	
tt0667654	12	nm0444653	writer	created by	
tt0667654	13	nm0514439	writer	writer	
tt0667654	14	nm0086951	producer	producer	
tt0667654	15	nm0588004	composer		
tt0667654	16	nm1134782	composer		
tt0686421	1	nm0418148	actor		"[""Richard Diamond""]"
tt0686421	2	nm0112233	actress		"[""Sam""]"
tt0686421	3	nm0922599	actor		"[""McAllister""]"
tt0686421	4	nm0248712	actress		"[""Marilyn Ann McAllister""]"
tt0686421	5	nm0041598	actress		"[""Mrs. Deneken""]"
tt0686421	6	nm0016776	actor		"[""Fernando Faillace""]"
tt0686421	7	nm0539439	actress		"[""Claire Toujours""]"
tt0686421	8	nm0449017	actor		"[""Lieutenant Baker""]"
tt0686421	9	nm0106959	actor		"[""Marius Deneken""]"
tt0686421	10	nm0851359	actress		"[""Woman""]"
tt0686421	11	nm0926636	director		
tt0686421	12	nm8742157	director	director	
tt0686421	13	nm0480681	writer	story editor	
tt0686421	14	nm0963342	writer	written by	
tt0686421	15	nm0374187	producer	producer	
tt0686421	16	nm0650046	editor	editor	
tt0686421	17	nm1715902	casting_director		
tt0719717	1	nm0125169	self		"[""Self""]"
tt0719717	2	nm0508980	self		"[""Self""]"
tt0719717	3	nm0925809	self		"[""Self - Guest Presenter""]"
tt0741661	1	nm0838093	actress		"[""Dancer""]"
tt0787223	1	nm1348324	actress		
tt0787223	2	nm0195926	actor		
tt0798534	1	nm0388578	actress		"[""Catherina Donkersloot""]"
tt0798534	2	nm0993299	actress		"[""Donna de la Fuentera""]"
tt0798534	3	nm0682545	actress		"[""Babette van Woensel""]"
tt0798534	4	nm0419317	actress		"[""Robin Theysse""]"
tt0798534	5	nm0582806	actor		"[""Jasper Groenhuysen""]"
tt0798534	6	nm0040038	actor		"[""Bob Ensink""]"
tt0798534	7	nm0882674	actress		"[""Margaretha van Woensel""]"
tt0798534	8	nm0785755	actor		"[""Felix de Reuver""]"
tt0798534	9	nm2420311	actor		"[""Charles Hoyink""]"
tt0798534	10	nm4578944	actress		"[""Marijke de Zwaan""]"
tt0798534	11	nm0800726	director		
tt0798534	12	nm1084220	writer	creator	
tt0798534	13	nm2013262	writer	creator	
tt0798534	14	nm0886146	writer	scenario	
tt0798534	15	nm1336280	producer	producer	
tt0933926	1	nm2478650	producer	producer	
tt0933926	2	nm0278390	composer		
tt0933926	3	nm0364912	composer		
tt0933926	4	nm1182142	composer		
tt0933926	5	nm0839670	composer		
tt0939365	1	nm1614435	actress		"[""Judge""]"
tt0939365	2	nm1662713	director		
tt0939365	3	nm0762323	producer	producer	
