tconst	averageRating	numVotes
tt0010483	7.3	22
tt0098820	7.9	5716
tt0099435	7.1	121
tt0114024	4.4	264
tt0219682	5.8	262
tt0388925	7.2	54
tt0426554	6.9	24
tt0480059	7.9	41
tt0524730	7.9	38
tt0565659	7.8	235
tt0582349	7.6	923
tt0667654	7.0	25
tt0686421	7.3	12
tt0966979	7.4	24
tt10763914	6.5	378
tt11145976	7.4	14
tt11191356	7.4	3946
tt11322534	6.4	21
tt11565044	7.6	329
tt11879572	6.6	260
tt12619890	7.5	29
tt13331946	7.6	69
tt1392212	7.2	31
tt14298112	8.2	16
tt15305778	9.3	14
tt1552654	5.5	26
tt2220989	6.7	24
tt2248981	7.1	11
tt2296693	5.9	12
tt2299993	8.9	21
tt27523496	6.0	46
tt30267062	5.7	14
tt33037902	6.1	9
tt6352726	7.5	10
tt6355356	8.0	1468
tt7607400	7.5	1576
tt7760922	7.8	51
tt8667556	7.8	8
tt8869884	6.9	40
